method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
REGGEN_LAB	DS4	RM5	0.507649972474448	0.160557215747594	0.0989577472628393
REGGEN_LAB	DS4	RM7	0.75947887162111	0.5625429276549	0.110800235485631
REGGEN_LAB	DS4	RM9	0.288536250255832	0.468678755711335	0.0631452241353976
Rubbernecks	AA	ISFRA1	-0.13305095034366	0.198074465237063	0.183359940652076
Rubbernecks	AA	ISFRA10	-0.136737539809211	0.49793719733206	0.209076474729866
Rubbernecks	AA	ISFRA11	-0.10877182419088	0.274725274725275	0.183520466695071
Rubbernecks	AA	ISFRA12	-0.0448675833620415	0.373626373626374	0.181125720275533
Rubbernecks	AA	ISFRA13	0.168873104397161	0.263736263736264	0.150896124693621
Rubbernecks	AA	ISFRA14	-0.0795576072552813	0.269230769230769	0.189454592551266
Rubbernecks	AA	ISFRA15	-0.00727367713594292	0.263736263736264	0.123630150708244
Rubbernecks	AA	ISFRA2	0.429234847001109	0.528927626864552	0.111359382754184
Rubbernecks	AA	ISFRA3	-0.161355130430463	-0.00549450549450549	0.176684958552595
Rubbernecks	AA	ISFRA4	0.106524655839684	0.192307692307692	0.179674824470689
Rubbernecks	AA	ISFRA5	-0.106004507384005	-0.142857142857143	0.191071613001451
Rubbernecks	AA	ISFRA6	0.0791625170112889	0.409904101671143	0.110100901326004
Rubbernecks	AA	ISFRA7	0.0774705368723515	-0.021978021978022	0.204205914155409
Rubbernecks	AA	ISFRA8	-0.24461812808379	0.211829636434081	0.214363425042151
Rubbernecks	AA	ISFRA9	-0.21929960362433	0.032967032967033	0.19916743745611
Rubbernecks	AA	ISFRB1	-0.138749597315173	0.0164835164835165	0.141141034319718
Rubbernecks	AA	ISFRB10	0.436697821712363	0.198074465237063	0.139571802186437
Rubbernecks	AA	ISFRB11	0.120006946423215	0.230769230769231	0.175018979684991
Rubbernecks	AA	ISFRB12	-0.0505548130098448	-0.142857142857143	0.0862655815862565
Rubbernecks	AA	ISFRB13	-0.135774337784983	0.118294472294357	0.197983896553653
Rubbernecks	AA	ISFRB14	-0.145338255919154	-0.043956043956044	0.174081877592405
Rubbernecks	AA	ISFRB15	-0.205518368888528	0.032967032967033	0.191871296763017
Rubbernecks	AA	ISFRB2	0.711839857932233	0.664835164835165	0.123006853815547
Rubbernecks	AA	ISFRB3	0.263634645533822	0.054945054945055	0.139645685967285
Rubbernecks	AA	ISFRB4	-0.0367751095525185	0.137362637362637	0.0777144046672148
Rubbernecks	AA	ISFRB5	0.303914239383756	0.426410307107565	0.143603302113141
Rubbernecks	AA	ISFRB6	-0.258297146410413	-0.0660248217456875	0.190510981098297
Rubbernecks	AA	ISFRB7	-0.144248971025938	0.00549450549450549	0.143130279654902
Rubbernecks	AA	ISFRB8	0.356548054038567	0.263736263736264	0.132676466382252
Rubbernecks	AA	ISFRB9	-0.288263342809848	-0.010989010989011	0.206342631907509
Rubbernecks	AB	ISFRA1	-0.246129490600291	0.00549450549450549	0.159273591119304
Rubbernecks	AB	ISFRA10	-0.132443332908373	-0.0742779244638985	0.131279517950632
Rubbernecks	AB	ISFRA11	0.451732720425528	0.0879120879120879	0.0960412007641545
Rubbernecks	AB	ISFRA12	-0.179587308411174	0.252747252747253	0.194182935576269
Rubbernecks	AB	ISFRA13	0.789676088469994	0.457302010726644	0.0727943728997152
Rubbernecks	AB	ISFRA14	0.60587539070381	0.708791208791209	0.0727604457293404
Rubbernecks	AB	ISFRA15	0.0915088498094137	0.0879120879120879	0.158660769652221
Rubbernecks	AB	ISFRA2	-0.100912166721356	0.203296703296703	0.14223655551523
Rubbernecks	AB	ISFRA3	0.108546119086082	-0.0824175824175824	0.167596748674382
Rubbernecks	AB	ISFRA4	-0.169738409547057	0.0797799929427058	0.20163307897611
Rubbernecks	AB	ISFRA5	-0.0593818991204617	0.228335841870503	0.17206118560254
Rubbernecks	AB	ISFRA6	-0.0509320181071308	0.373626373626374	0.156356965024977
Rubbernecks	AB	ISFRA7	0.392558805993088	0.56043956043956	0.133160685028331
Rubbernecks	AB	ISFRA8	0.260942844972345	0.785714285714286	0.177377310308148
Rubbernecks	AB	ISFRA9	0.0370267430917722	0.0879120879120879	0.155886879342406
Rubbernecks	AB	ISFRB1	-0.119956742910384	0.054945054945055	0.188779280312031
Rubbernecks	AB	ISFRB10	0.116461952895195	0.426410307107565	0.175269874635223
Rubbernecks	AB	ISFRB11	-0.035939495061742	0.258241758241758	0.193901208955257
Rubbernecks	AB	ISFRB12	0.509048771789291	0.472527472527473	0.154185036770363
Rubbernecks	AB	ISFRB13	0.0871669017441979	0.142857142857143	0.122995811341593
Rubbernecks	AB	ISFRB14	0.486434046171257	0.285714285714286	0.136165991130902
Rubbernecks	AB	ISFRB15	-0.204509621684299	-0.0604395604395604	0.184441876624804
Rubbernecks	AB	ISFRB2	0.0322302850344219	0.164835164835165	0.164812131589722
Rubbernecks	AB	ISFRB3	0.433397932418953	0.653846153846154	0.102732864857536
Rubbernecks	AB	ISFRB4	0.397882197038962	0.280992801771793	0.0688471238117122
Rubbernecks	AB	ISFRB5	-0.236318101884744	-0.208791208791209	0.150347598865666
Rubbernecks	AB	ISFRB6	0.604610729148154	0.808804066384672	0.158514896702836
Rubbernecks	AB	ISFRB7	0.142744911721254	-0.120879120879121	0.158068616740517
Rubbernecks	AB	ISFRB8	0.0939069074967323	-0.021978021978022	0.141501376916825
Rubbernecks	AB	ISFRB9	-0.0423713170774293	0.175824175824176	0.196702136298763
Rubbernecks	AE	ISFB1A1	0.00204752701991011	0.0274725274725275	0.0786577860369711
Rubbernecks	AE	ISFB1A2	-0.225020063075934	-0.445054945054945	0.207060674528938
Rubbernecks	AE	ISFB1A3	-0.128398396489244	-0.126373626373626	0.194292181660381
Rubbernecks	AE	ISFB1A4	0.60022065904883	0.17032967032967	0.0944173541238385
Rubbernecks	AE	ISFB1B1	-0.144394453727882	0.181318681318681	0.138609356420095
Rubbernecks	AE	ISFB1B2	-0.0982791501058503	0.126373626373626	0.181971757741344
Rubbernecks	AE	ISFB1B3	0.50469519889223	0.478021978021978	0.121563013656453
Rubbernecks	AE	ISFB1B4	-0.207068284414417	0.0769230769230769	0.200521026415935
Rubbernecks	AE	ISFB2A1	0.149410641351431	0.351648351648352	0.0613499326739247
Rubbernecks	AE	ISFB2A2	0.178556676952853	0.175824175824176	0.0840061842723422
Rubbernecks	AE	ISFB2A3	0.398358543928872	0.494505494505495	0.158273785500693
Rubbernecks	AE	ISFB2A4	-0.0313433087904799	0.241758241758242	0.157189908829547
